id,source_dataset,class,query,gold_doc_ids,expected_collections,pass_at,rank,hit,top1_doc_id,top1_collection,top1_score,top5_doc_ids
Q14,caselaw,indirect,Should GST authorities freeze every bank account as a routine revenue-protection step when the accounts hold only a small balance and there is no demonstrated need for such a drastic measure?,101010000000197847,held;ruling;case_summary,10,3,Y,101010000000318327,ruling,0.5797178745269775,101010000000318327;101010000000198188;101010000000197847;101010000000197847;101010000000197847
Q15,caselaw,direct,Husco International 133 taxmann.com 196 article 12 India USA DTAA software royalty PE,101010000000317237,metadata;headnotes;digest,5,7,N,101010000000067034,ruling,0.5910578370094299,101010000000067034;101010000000089073;101010000000339489;101010000000085915;101010000000315488
Q16,caselaw,indirect,A US parent buys off-the-shelf software seats and recovers the exact cost from its Indian affiliate without giving any reproduction rights. Is that receipt royalty or taxable business income in India if the parent has no local establishment?,101010000000317237,facts;held;case_summary,10,1,Y,101010000000317237,ruling,0.6736777424812317,101010000000317237;101010000000317237;101010000000317237;101010000000171401;101010000000317237
Q17,caselaw,direct,B G Shirke Airport Authority residential colony 12 percent GST Notification 11/2017 entry 3(vi)(c),101010000000316021,metadata;headnotes;digest,5,1,Y,101010000000316021,headnotes,0.6758553981781006,101010000000316021;101010000000316021;101010000000316021;101010000000316021;101010000000316021
Q18,caselaw,indirect,What GST rate applies when a contractor builds staff housing for employees of the Airports Authority of India?,101010000000316021,facts;held;case_summary,10,1,Y,101010000000316021,case_summary,0.6503728628158569,101010000000316021;101010000000316021;101010000000316021;101010000000316021;101010000000316021
Q19,caselaw,direct,Dimension Data India section 92C ITES comparables unreliable segmental results outsourcing,101010000000327286,metadata;headnotes;digest,5,4,Y,101010000000191378,ruling,0.5123928785324097,101010000000191378;101010000000344582;101010000000343294;101010000000327286;101010000000198152
Q20,caselaw,indirect,"For an arm's-length analysis, should a mixed-service company with untrustworthy segment accounts be compared with an IT-enabled-services provider, especially when one outsources the work and the other performs it in-house?",101010000000327286,facts;held;case_summary,10,10,Y,101010000000084937,headnotes,0.5686133503913879,101010000000084937;101010000000188423;101010000000174424;101010000000155277;101010000000084560
Q21,caselaw,direct,Shah Mohanlal Chhotalal 10 ITC 46 Bombay section 4 bonus shares reduction of capital,101010000000015863,metadata;headnotes;held,5,1,Y,101010000000015863,headnotes,0.49258488416671753,101010000000015863;101010000000015863;101010000000057630;101010000000347448;101010000000075797
Q22,caselaw,indirect,Can the tax department disregard a court-approved reduction of share capital and treat shares distributed to shareholders out of a capitalised reserve as taxable profits?,101010000000015863,facts;held;case_summary,10,1,Y,101010000000015863,headnotes,0.6130277514457703,101010000000015863;101010000000015863;101010000000015863;101010000000015863;101010000000015863
Q24,caselaw,direct,J K Trust 32 ITR 535 Supreme Court managing agency charitable trust section 4(3)(i),101010000000079607,metadata;headnotes;digest,5,3,Y,101010000000016367,ruling,0.6203840374946594,101010000000016367;101010000000016070;101010000000079607;101010000000017086;101010000000079607
Q27,caselaw,direct,J K COTTON SPINNING AND WEAVING CO LTD v WORKMEN 1965 domestic enquiry criminal case pending,101010000000411060,metadata;headnotes,5,3,Y,101010000000411849,ruling,0.49727118015289307,101010000000411849;101010000000410892;101010000000411060;101010000000412584;101010000000410892
Q30,caselaw,direct,Rahimbhai Karimbhai Nagriwala 97 ITR 660 section 271(1)(c) article 14 article 19 concealment penalty,101010000000031979,metadata;headnotes;held,5,1,Y,101010000000031979,facts,0.4163089096546173,101010000000031979;101010000000060323;101010000000048057;101010000000060323;101010000000010425
Q31,caselaw,indirect,"Is the income-tax penalty for concealment unconstitutional merely because the State penalises some classes of taxpayers differently, or because the penalty is strongly deterrent?",101010000000031979,held;case_summary;digest,10,1,Y,101010000000031979,headnotes,0.5789082646369934,101010000000031979;101010000000031979;101010000000031979;101010000000031979;101010000000031979
Q33,caselaw,direct,ITO v Poly Tech Cable Products 11 ITD 20 section 80HH scrap metal drums backward area,101010000000069794,metadata;headnotes;digest,5,1,Y,101010000000069794,headnotes,0.500135600566864,101010000000069794;101010000000069794;101010000000069794;101010000000046035;101010000000069794
Q34,caselaw,indirect,Can a new industrial undertaking claim the backward-area deduction on profits from manufacturing scrap as well as on proceeds from discarded water-storage drums?,101010000000069794,facts;held;case_summary,10,1,Y,101010000000069794,digest,0.6575305461883545,101010000000069794;101010000000069794;101010000000046035;101010000000069794;101010000000046035
Q36,caselaw,direct,Reliance Industries 1995 taxmann.com 569 Rule 57A 57C PTA MEG POY PSF Modvat nil rate,101010000000130933,metadata;headnotes;digest,5,1,Y,101010000000130933,headnotes,0.5344242453575134,101010000000130933;101010000000128812;101010000000118528;101010000000132912;101010000000080211
Q39,caselaw,direct,Vinod Kothari Consultants 91 ITD 153 Kolkata takeover competing training business section 37(1),101010000000072121,metadata;headnotes;digest,5,1,Y,101010000000072121,headnotes,0.5017842054367065,101010000000072121;101010000000072121;101010000000072121;101010000000072121;101010000000325490
Q42,caselaw,direct,Price Waterhouse 26 STT 291 Chennai transfer pricing certification Notification 59/98-ST chartered accountant service tax,101010000000003961,metadata;headnotes;digest,5,4,Y,105010000000009656,article_section,0.5199449062347412,105010000000009656;105010000000009669;105010000000009661;101010000000003961;101010000000003961
Q45,caselaw,direct,Ruchika Global Interlinks 82 taxmann.com 480 Rule 6(3)(c) Cenvat trading commission agent separate accounts,101010000000175656,metadata;headnotes;digest,5,1,Y,101010000000175656,headnotes,0.5478769540786743,101010000000175656;101010000000175656;101010000000175656;101010000000175656;101010000000175656
Q46,caselaw,indirect,"Before trading was treated as an exempt service, could a commission agent engaged in both trading and taxable services take the entire input-service credit without maintaining separate accounts?",101010000000175656,facts;held;case_summary,10,1,Y,101010000000175656,digest,0.6624006628990173,101010000000175656;101010000000175656;101010000000158332;101010000000110627;101010000000110627
Q48,caselaw,direct,Sunil Chopra v CAPL Hotels Spa 175 taxmann.com 251 section 5(8) time value money 17 years limitation,101010000000398668,metadata;headnotes;digest,5,>20,N,101010000000168804,ruling,0.3874850273132324,101010000000168804;101010000000075807;101010000000122586;101010000000334617;101010000000029320
Q51,caselaw,direct,PCIT v Kross Diamonds 186 taxmann.com 345 section 69C section 105 Income-tax Act 2025 cash sales 97 crores,101010000000419651,metadata;headnotes;digest,5,1,Y,101010000000419651,headnotes,0.6147325038909912,101010000000419651;101010000000419651;101010000000419651;101010000000356316;101010000000413315
Q52,caselaw,indirect,Can genuine diamond purchases made through banking channels be treated as unexplained expenditure only because the stock was later sold for cash to buyers whose identities could not be verified?,101010000000419651,facts;held;case_summary,10,1,Y,101010000000419651,case_summary,0.6172759532928467,101010000000419651;101010000000419651;101010000000419651;101010000000419651;101010000000419651
Q01,statutory,direct,Income-tax Act 1961 section 61 revocable transfer of assets,102120000000013242,act_section,5,>20,N,101010000000024083,ruling,0.6382262706756592,101010000000024083;101010000000012601;101010000000022620;101010000000081478;101010000000017278
Q03,statutory,direct,Customs Act 1962 section 98 coastal goods sections 33 34 36 37 38 apply,102120000000002485,act_section,5,1,Y,102120000000002485,act_section,0.578446090221405,102120000000002485;101010000000111804;107010000000373542;101010000000111259;101010000000111259
Q05,statutory,direct,Indian Contract Act 1872 section 220 agent guilty of misconduct remuneration illustration,102120000000004640,act_section,5,1,Y,102120000000004640,act_section,0.6373565196990967,102120000000004640;102120000000004621;102120000000004643;102120000000004645;102120000000004649
Q07,statutory,direct,Insurance Act 1938 section 43 record of insurance agents five years,102120000000005593,act_section,5,1,Y,102120000000005593,act_section,0.5656567215919495,102120000000005593;103120000000009420;105010000000026100;103120000000058423;103120000000005579
Q09,statutory,direct,Rajasthan Value Added Tax Act 2003 section 36 determination of disputed questions Commissioner,102120000000033200,act_section,5,1,Y,102120000000033200,act_section,0.513720691204071,102120000000033200;103120000000010872;101010000000186836;102120000000033362;101010000000095773
Q11,statutory,direct,Income-tax Rules rule 69 report of accountant Form 35 section 147(4)(a),103120000000061315,rule_section,5,1,Y,103120000000061315,rule_section,0.5411208868026733,103120000000061315;103120000000061314;101010000000080617;101010000000012458;103120000000061537
Q13,statutory,direct,auction sale of seized goods rule 86 section 68 69 thirty days proclamation,103120000000013177,rule_section,5,1,Y,103120000000013177,rule_section,0.5869835019111633,103120000000013177;103120000000011951;103120000000012181;103120000000013179;103120000000013791
Q15,statutory,direct,IBBI CIRP Regulations regulation 31B insolvency resolution process costs committee approval going concern assessment report,103120000000054592,rule_section,5,1,Y,103120000000054592,rule_section,0.6490508913993835,103120000000054592;101010000000190826;101010000000185981;101010000000190826;101010000000198582
Q17,statutory,direct,IRDAI Insurance Advertisements and Disclosure Regulations 2021 regulation 8 insurance intermediaries advertisements,103120000000046127,rule_section,5,1,Y,103120000000046127,rule_section,0.570412278175354,103120000000046127;103120000000001690;103120000000002144;103120000000046130;103120000000046125
Q19,statutory,direct,IFSCA Fund Management Regulations 2025 regulation 81 multi-family office portfolio management agreement FME,103120000000058733,rule_section,5,2,Y,103120000000049781,rule_section,0.5769162774085999,103120000000049781;103120000000058733;103120000000058732;103120000000058654;103120000000058654
Q21,statutory,direct,Vinayak Pai IND-AS Bottom-line Impact Information Technology Sector Case Study 73 taxmann.com 249,105010000000013692,article_section,5,1,Y,105010000000013692,article_section,0.6371343731880188,105010000000013692;105010000000013692;105010000000013692;105010000000014211;105010000000014211
Q23,statutory,direct,Parth Chourikar IBBI mediation operational creditors Section 9 applications 168 taxmann.com 82,105010000000024721,article_section,5,1,Y,105010000000024721,article_section,0.5237439274787903,105010000000024721;101010000000356181;101010000000365610;101010000000322529;101010000000178458
Q24,statutory,indirect,Has the insolvency regulator proposed making mediation a mandatory preliminary step for operational creditors before they can file an insolvency application against a corporate debtor?,105010000000024721,article_section,10,1,Y,105010000000024721,article_section,0.5774994492530823,105010000000024721;105010000000023743;105010000000023797;105010000000023797;105010000000023797
Q25,statutory,direct,Mohit Gupta true-up transfer pricing UAE arm's length year-end adjustment 170 taxmann.com 291,105010000000026000,article_section,5,1,Y,105010000000026000,article_section,0.6344437003135681,105010000000026000;105010000000028719;101010000000419169;101010000000420568;101010000000331731
Q26,statutory,indirect,"For UAE multinational businesses newly subject to Corporate Tax, why should related-party transactions be reviewed at fiscal year-end to align actual results with the arm's-length standard?",105010000000026000,article_section,10,1,Y,105010000000026000,article_section,0.7036442160606384,105010000000026000;105010000000012119;105010000000028719;105010000000024300;105010000000010352
Q27,statutory,direct,TCS foreign transactions banking sector extended deadline internal system upgrade LRS 151 taxmann.com 453,105010000000023024,article_section,5,1,Y,105010000000023024,article_section,0.5001940131187439,105010000000023024;105010000000022914;105010000000022914;105010000000021144;107010000000363225
Q28,statutory,indirect,Why did banks seek more time before implementing the higher TCS rate on foreign remittances after credit card spending abroad was brought under the Liberalised Remittance Scheme?,105010000000023024,article_section,10,1,Y,105010000000023024,article_section,0.5961931943893433,105010000000023024;105010000000022914;105010000000022914;105010000000022920;105010000000023040
Q29,statutory,direct,PRAVAAH RBI Shaktikanta Das Retail Direct Mobile App FinTech Repository 163 taxmann.com 25,105010000000024038,article_section,5,1,Y,105010000000024038,article_section,0.7332185506820679,105010000000024038;105010000000024038;105010000000024038;105010000000024038;105010000000024038
Q31,statutory,direct,undervalued transaction bankruptcy trustee section 164 Insolvency Code 2016 two years,107010000000375193,commentary_section,5,1,Y,107010000000375193,commentary_section,0.5778090953826904,107010000000375193;107010000000375194;102120000000062116;101010000000183867;101010000000418090
Q33,statutory,direct,discharge order resolution professional qualifying debts section 92 Insolvency Code 2016 moratorium,107010000000375163,commentary_section,5,1,Y,107010000000375163,commentary_section,0.6230712532997131,107010000000375163;102120000000062044;107010000000375161;101010000000396183;107010000000375159
Q35,statutory,direct,Foreign Exchange Management Possession and Retention of Foreign Currency Regulations 2015 regulation 2(ii) physical possession,107010000000350510,commentary_section,5,4,Y,103120000000019070,rule_section,0.5238937735557556,103120000000019070;103120000000019071;103120000000000418;107010000000350510;103120000000019068
Q36,statutory,indirect,"Do FEMA's foreign-currency possession rules restrict foreign currency held in permitted bank accounts with authorised dealers, or only physical cash holdings?",107010000000350510,commentary_section,10,1,Y,107010000000350510,commentary_section,0.5496676564216614,107010000000350510;103120000000000415;101010000000358084;107010000000350499;101010000000423765
Q37,statutory,direct,colourable legislation K C Gajapati Narayan Deo State of Orissa Shanthi Ashok Kumar Union of India,107010000000340808,commentary_section,5,1,Y,107010000000340808,commentary_section,0.5264567732810974,107010000000340808;101010000000019264;101010000000399920;101010000000130648;107010000000344730
Q38,statutory,indirect,What legal doctrine describes a law that appears to be within a legislature's competence but is actually an indirect or disguised attempt to exceed its constitutional power?,107010000000340808,commentary_section,10,3,Y,101010000000399920,ruling,0.5831591486930847,101010000000399920;101010000000130648;101010000000399920;107010000000340808;101010000000194498
Q39,statutory,direct,Hydraulic Jack Entry 84 sub-entry 211(d) DVAT Act 2004 tools and dies clarification,107010000000358135,commentary_section,5,1,Y,107010000000358135,commentary_section,0.6913710236549377,107010000000358135;107010000000356831;107010000000357498;101010000000123719;107010000000360046
Q40,statutory,indirect,"Under Delhi VAT, are hydraulic jacks taxed as industrial tools under the 'tools and dies' entry, and at what rate?",107010000000358135,commentary_section,10,1,Y,107010000000358135,commentary_section,0.6618403792381287,107010000000358135;107010000000357498;107010000000356831;107010000000360046;101010000000123719
